_id,RcnNormCR,RusStarCR,RkrStarCR,RcnStarCR,stage,valid,date,totalTime,studyTime,recogTime,genderTarget,gender,age,cnStarFamiliar,krStarFamiliar,usStarFamiliar,cnNormFamiliar,cnStarMeanRT,krStarMeanRT,cnNormMeanRT,usStarMeanRT,cnStarCorrectRate,krStarCorrectRate,cnNormCorrectRate,usStarCorrectRate,cnStarStdRT,krStarStdRT,cnNormStdRT,usStarStdRT,device-width,device-height,device-min
66472463488cdde295b8a51f,0.875,0.5833,0.7083,0.716,有效数据,有效数据,2024-5-17 5:33:21 PM,685218,,160667,男,女,18,1,0,0,0,2245.7917,1090.375,1872.8333,1485.4583,0.75,0.7083,0.875,0.5833,1622.5075,927.3275,1255.0556,872.6368,393,895,393
6647258f3e05e42dc41f1443,0.625,0.3803,0.5677,0.5383,有效数据,有效数据,2024/5/17 17:38:24,497444,,121875,男,女,19,5,3,3,0,1217.75,1196.8333,886.0417,1777.5,0.7083,0.6667,0.625,0.4583,333.3826,244.2948,300.6151,1471.4903,400,888,400
664725b1c9e0ac47ebebdd1c,0.5,0.6823,0.684,0.75,有效数据,有效数据,2024/5/17 下午5:38:56,533037,76935,148811,男,女,20,0,2,1,0,1590.625,1629.5417,1408.3333,1571.9583,0.75,0.75,0.5,0.7083,494.0892,777.896,436.878,605.2089,1440,900,900
6647278efa0a82b7aae51eab,0.7083,0.5833,0.6667,0.6667,有效数据,有效数据,2024/5/17 17:46:51,797830,65763,133220,女,女,21,0,0,0,0,1681.8333,1194.375,1251.9583,1422.6667,0.6667,0.6667,0.7083,0.5833,1098.5514,347.5774,308.8947,747.6745,400,894,400
664729181f1c3551878c3aef,0.726,0.6877,0.552,0.421,有效数据,有效数据,2024/5/17 17:53:27,444027,,106689,女,女,27,6,6,4,2,1027.1667,1206.125,1221.3333,990.75,0.625,0.75,0.75,0.7917,238.4702,381.5114,348.8406,297.0825,414,896,414
66472a059edddb97ffd58a69,0.75,0.625,0.6927,0.6667,有效数据,有效数据,2024/5/17 17:57:23,615317,77228,171387,男,女,51,0,3,0,0,1833.875,2260.375,1486.625,1560.25,0.6667,0.7917,0.75,0.625,525.3437,1045.0564,862.7694,639.5567,400,880,400
664730300b72c7f5f0ccc322,0.8687,0.875,0.4687,0.7543,有效数据,有效数据,2024/5/17 18:23:43,1016641,70304,112861,女,女,22,6,6,0,4,1096.0417,1305,1253.5,1048,0.9583,0.6667,0.9167,0.875,199.0343,492.2153,442.5772,259.4211,1059,662,662
6647321871ad9f290ecb6b88,0.5833,0.7083,0.717,0.6667,有效数据,有效数据,2024/5/17 18:31:51,471777,,109819,男,男,30,0,1,0,0,1131.6667,1090.3333,1158.4583,1195.3333,0.6667,0.75,0.5833,0.7083,342.3141,347.6134,473.9898,645.8176,1920,1080,1080
664734deb69ac64706920bfb,0.7083,0.5,0.7083,0.6217,有效数据,有效数据,2024/5/17 18:43:40,542679,,121234,女,女,48,5,0,0,0,1208,1348.0417,1331.7083,1163.6667,0.7917,0.7083,0.7083,0.5,371.0991,575.9393,591.1288,369.6947,400,891,400
66473ac915ac3b58dbcce291,0.714,0.625,0.7083,0.4133,有效数据,有效数据,2024/5/17 19:08:56,439430,61010,76751,女,女,20,5,0,0,3,973.4583,815,713.1667,696.3333,0.5833,0.7083,0.75,0.625,296.328,306.2051,254.6719,348.5183,1536,960,960
66473bb833d75b3bed354df8,0.7083,0.6407,0.625,0.6667,有效数据,有效数据,2024/5/17 19:12:54,692995,50971,113693,男,男,20,0,0,1,0,1195,1353.0833,1147.9167,1041.2083,0.6667,0.625,0.7083,0.6667,514.4299,1048.1939,541.7853,372.3104,393,873,393
664741fbb4d398e6619b10c0,0.6843,0.698,0.802,0.796,有效数据,有效数据,2024/5/17 19:39:39,727648,,170910,女,女,18,6,6,2,2,1516.625,1621.5,1973.2083,2009.9167,1,1,0.7083,0.75,756.5766,423.4383,1151.4736,983.908,1280,720,720
66474949f83f20eb7229013d,0.4167,0.7657,0.3003,0.648,有效数据,有效数据,2024/5/17 20:10:32,581947,,161514,男,女,27,3,1,1,0,1610.7083,1454.9167,2550.0833,1114.0417,0.75,0.3333,0.4167,0.7917,636.8573,695.4657,3688.805,429.3584,400,889,400
66476d49efd24d8f4f81de2c,0.6667,0.547,0.4183,0.6293,有效数据,有效数据,2024/5/17 22:44:21,496714,73160,117615,男,女,19,6,5,3,0,1559.0833,1188.3333,963.3333,1189.875,0.8333,0.5833,0.6667,0.625,767.2737,296.9076,298.4678,314.3333,360,748,360
66477b0188f47168737022ba,0.625,0.6773,0.3837,0.7237,有效数据,有效数据,2024/5/17 23:42:53,981516,,163714,男,女,20,2,1,6,0,2171.0417,1771.0833,1116.1667,1763.125,0.7917,0.4167,0.625,0.8333,1822.7711,1063.2785,452.6486,1039.5113,440,957,440
6647f9a35291da1cda73a320,0.625,0.8387,0.6683,0.5877,有效数据,有效数据,2024/5/18 08:43:13,546024,,158461,男,女,19,6,5,3,0,1625.2917,1682.1667,1348.1667,1946.9167,0.7917,0.8333,0.625,0.9167,754.8694,625.9119,583.453,1172.079,400,883,400
664833eda537cd9ec99175c0,0.5833,0.7083,0.2517,0.6293,有效数据,有效数据,2024/5/18 12:51:54,524109,,118648,男,女,18,6,5,0,0,1354.2917,1191.875,1165.9167,1231.5833,0.8333,0.4167,0.5833,0.7083,758.606,516.9843,335.2451,356.8538,376,831,376
66486d195c2344b23b8ae263,0.6547,0.6357,0.4687,0.421,有效数据,有效数据,2024/5/18 16:55:51,616541,,125974,男,女,20,6,6,6,1,1585.25,1046.9583,1549.9583,1066.75,0.625,0.6667,0.6667,0.7917,920.1992,302.9518,2152.7708,268.6284,400,864,400
664ac41e7510ff7d9e574bd5,0.5833,0.797,0.7013,0.6293,有效数据,有效数据,2024/5/20 11:31:40,462247,71195,89252,女,女,19,6,4,3,0,963.0417,946.75,889.9583,919.0833,0.8333,0.8333,0.5833,0.875,154.5016,253.3165,216.2401,211.7435,360,800,360
